Shift	Overlaps
20055730	184
22309396	162
34579934	185
29839010	187
28924757	184
15297823	196
31697960	190
31401423	179
27627917	195
31587561	167
24607082	192
18629604	155
8016093	189
6295855	197
17057562	167
1748100	175
41489167	175
1723059	193
22416990	164
15762770	184
12879157	200
21929676	171
25048766	165
6207636	184
49688656	196
16647676	182
7737122	199
2072710	186
10948711	202
49120609	178
16662405	189
2651000	178
19281499	182
15921760	183
20052661	184
42047094	177
27549088	186
9023727	184
24282418	156
45929861	188
24726560	172
49175645	188
2618432	192
9064808	180
13163915	198
20451163	172
29724719	199
3870296	178
26489336	186
31862469	173
5101279	200
5902019	183
23013305	147
16191026	158
40966655	176
12835716	210
14136178	175
14049419	176
12870891	187
27240049	175
4542864	172
22704873	175
16606086	167
2439119	162
45577444	173
6628814	198
22333189	169
27732651	207
19968887	203
14139733	174
48764778	176
36193512	161
48573144	174
24014826	153
5751215	167
6257171	174
35695731	149
34695777	198
13275957	194
44655780	179
38385724	195
32360597	142
31557607	180
14556118	182
8611309	180
31952260	158
31460836	184
35776129	155
7018342	197
37359295	185
19557209	165
42121496	190
32123548	160
31184670	163
7418992	214
33731179	186
28837341	187
43075597	146
30318347	165
11460420	188
35782605	162
2607640	190
18091335	177
40654027	180
46942449	179
46067484	180
3845550	191
41415377	199
20661590	168
8624222	178
44914348	190
7021412	203
40602377	183
2970377	169
10778927	201
14280938	187
49499907	185
18469586	194
3818707	178
2836296	170
40618305	168
33364488	149
37696604	207
34327755	206
28743854	196
48181346	176
42839703	161
3987049	194
20501561	177
6802811	196
7018326	197
18244266	187
6768796	193
39858268	175
6807071	202
40859351	174
7665879	209
15346220	187
35384148	177
24027670	164
29430367	172
11042545	216
22347191	166
20903540	176
38152914	168
4137186	193
34983677	162
45795632	193
43016978	162
25886331	172
5757886	174
30345577	173
32524664	165
28653695	197
41258215	183
1314705	193
13536511	173
30845151	181
28761217	182
23876480	165
34802153	180
1695062	187
34415426	196
4350510	170
38161815	161
42619976	155
29338795	164
29812186	164
42216235	176
40417446	172
42488090	177
25417286	165
35828777	162
47240776	172
3387021	172
49774618	172
19711941	173
7910318	185
45227498	186
8994525	188
3002959	194
31785010	175
3162543	156
49397998	203
27318665	187
10003744	195
35154006	163
37672972	199
6691886	182
35037517	195
32431907	155
35245631	173
49663848	182
26694924	172
30421756	170
31721801	179
20716635	180
28323778	189
40607893	180
36940710	208
13415483	187
28427505	220
43791655	156
14372240	181
32926901	159
11119996	197
49606105	184
4898335	178
19471612	170
3786430	173
2028722	175
15474884	192
