Library	seqnames	start	end	width	strand	genoT	deltaW	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	gene
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000080.7	81907894	82109853	201960	*	wc-cc	77	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000080.7	91256997	91276364	19368	*	cc-wc	94	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000082.7	78238393	78264572	26180	*	wc-ww	70	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000083.7	75416126	75428267	12142	*	ww-wc	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000085.7	5889900	5889942	43	*	cc-wc	81	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_	NC_000085.7	55990585	56003057	12473	*	wc-cc	87	G	141	2.03323e-05	0.9722	363332	363332	74.084873	0.045699	0.0095138173	0.027933527	66	0.5	0.416089	0.116427	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000067.7	24490118	24495720	5603	*	wc-ww	95	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000067.7	48565232	48644277	79046	*	ww-wc	100	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000067.7	124782784	124788722	5939	*	wc-cc	81	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000068.8	37475988	37503556	27569	*	cc-wc	83	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000068.8	50934945	50981544	46600	*	wc-ww	72	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000068.8	103966057	103985337	19281	*	ww-wc	96	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000068.8	162984455	162992703	8249	*	wc-ww	86	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	48935380	48944014	8635	*	wc-cc	82	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	55888880	55897455	8576	*	cc-wc	78	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	63976243	64006165	29923	*	wc-ww	92	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	68899278	68940284	41007	*	ww-wc	82	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	76632979	76663726	30748	*	wc-ww	76	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000069.7	124128636	124143703	15068	*	ww-wc	91	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000070.7	54694283	54713469	19187	*	ww-wc	79	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000070.7	58169060	58175009	5950	*	wc-cc	82	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000070.7	104103214	104159371	56158	*	cc-wc	85	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000071.7	139387341	139396380	9040	*	cc-wc	89	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000072.7	7825880	7981137	155258	*	ww-wc	104	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000072.7	13131362	13167522	36161	*	wc-cc	79	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000072.7	62788053	62814363	26311	*	cc-wc	85	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000072.7	91122530	91133699	11170	*	wc-ww	89	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000074.7	51329034	51341397	12364	*	wc-cc	43	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000074.7	53103287	53131304	28018	*	cc-wc	54	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000074.7	73071875	73093858	21984	*	wc-ww	75	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000075.7	56466327	56472951	6625	*	ww-wc	87	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000075.7	74632441	74700522	68082	*	wc-ww	74	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000075.7	78067373	78212660	145288	*	ww-wc	92	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000075.7	94467003	94467695	693	*	wc-ww	63	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000076.7	86451105	86540550	89446	*	wc-ww	77	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000076.7	96295885	96309632	13748	*	ww-wc	81	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000076.7	119263322	119264630	1309	*	wc-ww	84	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000076.7	125015777	125021555	5779	*	ww-wc	97	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000077.7	69541022	69567691	26670	*	wc-cc	154	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000078.7	17625034	17658014	32981	*	cc-wc	46	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000078.7	24534236	24812822	278587	*	wc-cc	44	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000078.7	44414398	44568091	153694	*	cc-wc	74	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000079.7	74002301	74057232	54932	*	ww-wc	78	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000079.7	107561076	107585825	24750	*	wc-ww	79	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000080.7	54621210	54656111	34902	*	ww-wc	76	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000080.7	71873388	71908475	35088	*	wc-ww	75	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000080.7	104295664	104327621	31958	*	ww-cc	135	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000081.7	89336730	89364368	27639	*	cc-wc	85	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000083.7	12116983	12119787	2805	*	cc-wc	82	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000083.7	32831435	32879331	47897	*	wc-ww	78	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000083.7	80058515	80095301	36787	*	ww-wc	84	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000084.7	11687414	11783314	95901	*	wc-ww	80	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000084.7	64381522	64399810	18289	*	ww-wc	77	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000084.7	67191131	67233349	42219	*	wc-ww	75	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000085.7	22806836	22828943	22108	*	wc-ww	78	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000085.7	41675961	41715556	39596	*	ww-wc	81	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000085.7	45790162	45815780	25619	*	wc-ww	76	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000086.8	84229160	84284875	55716	*	cc-wc	81	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_	NC_000086.8	112740857	112747807	6951	*	wc-ww	86	G	122	0.00203392	0.8979	619228	619228	71.826523	0.03537	0.0158903122	0.0382919044	116	0.4459459459	0.42231	0.173166	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000067.7	57887654	57902346	14693	*	ww-wc	88	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000067.7	75951118	76107066	155949	*	wc-ww	89	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000067.7	180384264	180403304	19041	*	ww-wc	85	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000068.8	71350315	71402762	52448	*	wc-cc	83	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000068.8	89782593	89831453	48861	*	cc-wc	79	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000070.7	84257346	84388960	131615	*	cc-wc	77	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000071.7	64818432	64842661	24230	*	wc-cc	80	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000071.7	86408114	86409447	1334	*	cc-wc	93	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000072.7	78163556	78386310	222755	*	cc-wc	80	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000072.7	83404763	83549550	144788	*	wc-cc	95	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000072.7	120653327	120740549	87223	*	cc-wc	84	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000074.7	13190731	13207384	16654	*	wc-cc	59	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000074.7	70253742	70327363	73622	*	cc-wc	69	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000075.7	52078129	52081396	3268	*	cc-wc	69	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_	NC_000075.7	108463793	108584345	120553	*	wc-cc	67	G	115	0.0120758	0.9482	193962	193962	71.17605	0.0202	0.0050098441	0.0842406877	35	0.5434782609	0.418227	0.121771	BLM
