seqnames	start	end	width	strand	genoT	deltaW	ID
chr12	63888926	63896025	7100	*	wc-ww	95	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr13	19433782	19469343	35562	*	wc-ww	61	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr14	20634464	20634906	443	*	wc-ww	52	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr15	22371337	22595815	224479	*	wc-cc	68	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr15	60814615	60821665	7051	*	cc-wc	78	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr15	72428953	72554390	125438	*	wc-cc	71	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr15	73989186	74036222	47037	*	cc-wc	70	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr15	89330317	89354382	24066	*	wc-cc	76	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr16	34269115	34571695	302581	*	ww-cc	133	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr16	46401067	46416840	15774	*	cc-ww	151	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr20	26347945	26565019	217075	*	ww-wc	61	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr20	30505296	30507760	2465	*	wc-ww	68	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr21	13258992	13312384	53393	*	wc-cc	74	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr22	16798576	16805865	7290	*	wc-ww	53	zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam
chr1	155377062	155438953	61892	*	cc-ww	145	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr2	139857541	139895654	38114	*	ww-cc	160	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr2	186436530	186551338	114809	*	cc-ww	146	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr9	40930831	40934541	3711	*	ww-wc	30	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr9	70029445	70068023	38579	*	wc-ww	40	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr12	62463398	62694572	231175	*	ww-cc	32	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr12	63988413	64008926	20514	*	cc-ww	34	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr13	69136329	69162398	26070	*	ww-cc	162	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr15	72379228	72535341	156114	*	cc-wc	55	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr15	74495763	74548268	52506	*	wc-cc	54	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr16	33678456	34201693	523238	*	cc-ww	92	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr16	46696768	46707002	10235	*	ww-cc	94	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr21	15208789	15287264	78476	*	wc-cc	45	zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam
chr1	146144015	146327424	183410	*	ww-cc	147	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr1	148826503	148905253	78751	*	cc-ww	143	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr3	91497945	92080602	582658	*	cc-ww	134	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr3	93781568	93806336	24769	*	ww-cc	134	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr4	49020896	49096226	75331	*	cc-wc	24	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr4	49786660	51616521	1829862	*	wc-cc	22	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr7	57589552	57643125	53574	*	cc-wc	50	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr7	62428792	62451009	22218	*	wc-cc	45	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr7	64861056	64900823	39768	*	cc-wc	34	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr7	65747497	65790042	42546	*	wc-cc	34	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr8	7127427	7131524	4098	*	cc-wc	31	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr8	8309449	8312541	3093	*	wc-cc	26	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr9	39174410	39560292	385883	*	cc-wc	66	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr9	67203441	68408572	1205132	*	wc-cc	73	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr11	47614973	47672022	57050	*	ww-wc	24	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr11	47721239	47745163	23925	*	wc-ww	26	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr11	50105362	50146727	41366	*	ww-cc	23	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr11	50342424	50432104	89681	*	cc-ww	32	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr12	62680932	62686472	5541	*	ww-cc	132	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr12	64149464	64149768	305	*	cc-ww	132	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr14	20273325	20276496	3172	*	wc-cc	49	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr15	22294855	22579162	284308	*	wc-ww	47	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr15	72673890	72687645	13756	*	ww-wc	54	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr15	74045685	74046076	392	*	wc-ww	61	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr16	21375947	21479734	103788	*	ww-cc	129	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr16	22675937	22693303	17367	*	cc-ww	113	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr16	34252628	34571632	319005	*	ww-cc	122	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr16	46401498	46404543	3046	*	cc-ww	144	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr17	22462878	22476924	14047	*	cc-wc	33	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr17	22556795	22565766	8972	*	wc-cc	28	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr17	26683789	26733487	49699	*	cc-ww	37	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr17	26885936	26964890	78955	*	ww-cc	39	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr20	25763625	25860853	97229	*	ww-wc	70	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr20	30459164	30468345	9182	*	wc-ww	56	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr21	13195394	13242159	46766	*	wc-cc	66	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr22	16136911	16137083	173	*	wc-cc	77	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chrX	104253721	104268467	14747	*	cc-wc	21	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chrX	104342048	104356394	14347	*	wc-cc	23	zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam
chr1	146187730	146375371	187642	*	cc-ww	152	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr1	148700055	148855973	155919	*	ww-cc	146	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	89305299	89544405	239107	*	cc-wc	62	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	91560318	91566029	5712	*	wc-cc	55	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	95238594	95249016	10423	*	cc-wc	39	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	95711216	95743089	31874	*	wc-cc	44	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	109384538	109395457	10920	*	cc-wc	43	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr2	110365950	110664605	298656	*	wc-cc	39	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr4	172303439	172329845	26407	*	ww-cc	157	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr5	46323549	46324039	491	*	cc-wc	33	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr5	50050045	50169949	119905	*	wc-cc	32	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr6	538358	548814	10457	*	wc-cc	63	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr7	57604675	57651134	46460	*	ww-wc	55	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr7	62405940	62554571	148632	*	wc-ww	68	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr7	65068908	65103083	34176	*	ww-cc	70	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr7	65626014	65627347	1334	*	cc-ww	71	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr8	15263121	15264579	1459	*	wc-cc	65	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr8	37462571	37483005	20435	*	cc-wc	66	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr9	45453497	60525193	15071697	*	ww-wc	71	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr9	65462536	65464136	1601	*	wc-ww	95	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr9	130805378	130807994	2617	*	ww-cc	145	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr10	74817181	74821852	4672	*	ww-cc	150	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr11	49652684	49653989	1306	*	cc-wc	58	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr11	50341737	50372419	30683	*	wc-cc	61	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr12	62872601	62875870	3270	*	ww-cc	152	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr12	63863849	63872244	8396	*	cc-ww	159	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr13	18409308	18476381	67074	*	ww-cc	104	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr14	19947008	19958288	11281	*	wc-ww	66	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	20293225	20304975	11751	*	cc-wc	46	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	22295851	22589327	293477	*	wc-cc	52	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	60812636	60812927	292	*	cc-wc	84	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	72626664	72678822	52159	*	wc-cc	72	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	74065967	74072828	6862	*	cc-wc	82	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr15	89347800	89351968	4169	*	wc-cc	80	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr16	21557856	21560628	2773	*	cc-ww	137	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr16	22637151	22640308	3158	*	ww-wc	126	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr16	22662662	22662925	264	*	wc-cc	126	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr16	34264480	34571871	307392	*	cc-ww	94	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr16	46401600	46403130	1531	*	ww-cc	149	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr17	26797385	26822476	25092	*	ww-wc	77	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr17	27113282	27138345	25064	*	wc-ww	66	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr20	28513654	28557343	43690	*	ww-cc	98	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr20	29121134	29223200	102067	*	cc-ww	84	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr20	29874184	29882245	8062	*	ww-wc	77	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr20	30839399	30851108	11710	*	wc-ww	80	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr21	10332009	10345707	13699	*	cc-ww	125	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr21	10813812	12970845	2157034	*	ww-cc	140	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr22	12641058	12641516	459	*	wc-cc	70	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr22	15688360	15692427	4068	*	cc-wc	67	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr22	16021095	16023925	2831	*	wc-cc	72	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr22	23289828	23291782	1955	*	cc-ww	141	zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam
chr1	146571654	146593884	22231	*	ww-cc	130	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr1	148534524	148924336	389813	*	cc-ww	144	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr2	45020822	45027037	6216	*	ww-wc	64	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr6	13567457	13695388	127932	*	wc-cc	72	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr6	153019513	153061227	41715	*	cc-wc	69	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr7	57591713	57643727	52015	*	ww-wc	81	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr9	98594750	98632428	37679	*	wc-cc	29	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr9	98728743	98730364	1622	*	cc-wc	37	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr11	50039705	50044482	4778	*	cc-ww	26	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr11	50366216	50375011	8796	*	ww-cc	34	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr12	15998711	15999466	756	*	wc-ww	83	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr12	62776377	62818027	41651	*	ww-cc	118	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr12	63855747	63879657	23911	*	cc-ww	124	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr13	18732847	18735437	2591	*	wc-cc	70	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr15	22244027	22245931	1905	*	wc-ww	60	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr15	74076071	74100205	24135	*	ww-wc	72	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr15	89385551	89419903	34353	*	wc-ww	71	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr17	29887025	29924384	37360	*	ww-wc	73	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr18	1441158	1451931	10774	*	ww-wc	39	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr19	24406263	24414562	8300	*	wc-cc	60	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr21	12997230	13056423	59194	*	wc-ww	86	zeid_RECQ5_UV300s_hoechst3_cluster15_well38_S528_.trimmed.mdup.bam
chr1	146028470	146382023	353554	*	ww-cc	105	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr1	149070817	149085202	14386	*	cc-ww	125	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr4	85431986	85437133	5148	*	cc-wc	70	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr7	64416470	64528618	112149	*	ww-wc	39	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr7	66304001	66473042	169042	*	wc-ww	39	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr9	38533504	38539824	6321	*	ww-wc	48	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr9	68351687	68367480	15794	*	wc-ww	44	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
chr9	131117381	131123143	5763	*	ww-wc	77	zeid_RECQ5_UV300s_hoechst3_cluster15_well37_S527_.trimmed.mdup.bam
